video_id,label
02-02-04-01-01-01-02,sadness
02-02-04-01-01-02-02,sadness
02-02-04-01-02-01-02,sadness
02-02-04-01-02-02-02,sadness
02-02-04-02-01-01-02,sadness
02-02-04-02-01-02-02,sadness
02-02-04-02-02-01-02,sadness
02-02-04-02-02-02-02,sadness
02-02-05-01-01-01-02,anger
02-02-05-01-01-02-02,anger
02-02-05-01-02-01-02,anger
02-02-05-01-02-02-02,anger
02-02-05-02-01-01-02,anger
02-02-05-02-01-02-02,anger
02-02-05-02-02-01-02,anger
02-02-05-02-02-02-02,anger
02-02-06-01-01-01-02,fear
02-02-06-01-01-02-02,fear
02-02-06-01-02-01-02,fear
02-02-06-01-02-02-02,fear
02-02-06-02-01-01-02,fear
02-02-06-02-01-02-02,fear
02-02-06-02-02-01-02,fear
02-02-06-02-02-02-02,fear
01-02-01-01-01-01-03,neutral
01-02-01-01-01-02-03,neutral
01-02-01-01-02-01-03,neutral
01-02-01-01-02-02-03,neutral
01-02-02-01-01-01-03,neutral
01-02-02-01-01-02-03,neutral
01-02-02-01-02-01-03,neutral
01-02-02-01-02-02-03,neutral
01-02-02-02-01-01-03,neutral
01-02-02-02-01-02-03,neutral
01-02-02-02-02-01-03,neutral
01-02-02-02-02-02-03,neutral
01-02-03-01-01-01-03,joy
01-02-03-01-01-02-03,joy
01-02-03-01-02-01-03,joy
01-02-03-01-02-02-03,joy
01-02-03-02-01-01-03,joy
01-02-03-02-01-02-03,joy
01-02-03-02-02-01-03,joy
01-02-03-02-02-02-03,joy
01-02-04-01-01-01-03,sadness
01-02-04-01-01-02-03,sadness
01-02-04-01-02-01-03,sadness
01-02-04-01-02-02-03,sadness
01-02-04-02-01-01-03,sadness
01-02-04-02-01-02-03,sadness
01-02-04-02-02-01-03,sadness
01-02-04-02-02-02-03,sadness
01-02-05-01-01-01-03,anger
01-02-05-01-01-02-03,anger
01-02-05-01-02-01-03,anger
01-02-05-01-02-02-03,anger
01-02-05-02-01-01-03,anger
01-02-05-02-01-02-03,anger
01-02-05-02-02-01-03,anger
01-02-05-02-02-02-03,anger
01-02-06-01-01-01-03,fear
01-02-06-01-01-02-03,fear
01-02-06-01-02-01-03,fear
01-02-06-01-02-02-03,fear
01-02-06-02-01-01-03,fear
01-02-06-02-01-02-03,fear
01-02-06-02-02-01-03,fear
01-02-06-02-02-02-03,fear
02-02-01-01-01-01-03,neutral
02-02-01-01-01-02-03,neutral
02-02-01-01-02-01-03,neutral
02-02-01-01-02-02-03,neutral
02-02-02-01-01-01-03,neutral
02-02-02-01-01-02-03,neutral
02-02-02-01-02-01-03,neutral
02-02-02-01-02-02-03,neutral
02-02-02-02-01-01-03,neutral
02-02-02-02-01-02-03,neutral
02-02-02-02-02-01-03,neutral
02-02-02-02-02-02-03,neutral
02-02-03-01-01-01-03,joy
02-02-03-01-01-02-03,joy
02-02-03-01-02-01-03,joy
02-02-03-01-02-02-03,joy
02-02-03-02-01-01-03,joy
02-02-03-02-01-02-03,joy
02-02-03-02-02-01-03,joy
02-02-03-02-02-02-03,joy
02-02-04-01-01-01-03,sadness
02-02-04-01-01-02-03,sadness
02-02-04-01-02-01-03,sadness
02-02-04-01-02-02-03,sadness
02-02-04-02-01-01-03,sadness
02-02-04-02-01-02-03,sadness
02-02-04-02-02-01-03,sadness
02-02-04-02-02-02-03,sadness
02-02-05-01-01-01-03,anger
02-02-05-01-01-02-03,anger
02-02-05-01-02-01-03,anger
02-02-05-01-02-02-03,anger
02-02-05-02-01-01-03,anger
02-02-05-02-01-02-03,anger
02-02-05-02-02-01-03,anger
02-02-05-02-02-02-03,anger
02-02-06-01-01-01-03,fear
02-02-06-01-01-02-03,fear
02-02-06-01-02-01-03,fear
02-02-06-01-02-02-03,fear
02-02-06-02-01-01-03,fear
02-02-06-02-01-02-03,fear
02-02-06-02-02-01-03,fear
02-02-06-02-02-02-03,fear
01-02-01-01-01-01-04,neutral
01-02-01-01-01-02-04,neutral
01-02-01-01-02-01-04,neutral
01-02-01-01-02-02-04,neutral
01-02-02-01-01-01-04,neutral
01-02-02-01-01-02-04,neutral
01-02-02-01-02-01-04,neutral
01-02-02-01-02-02-04,neutral
01-02-02-02-01-01-04,neutral
01-02-02-02-01-02-04,neutral
01-02-02-02-02-01-04,neutral
01-02-02-02-02-02-04,neutral
01-02-03-01-01-01-04,joy
01-02-03-01-01-02-04,joy
01-02-03-01-02-01-04,joy
01-02-03-01-02-02-04,joy
01-02-03-02-01-01-04,joy
01-02-03-02-01-02-04,joy
01-02-03-02-02-01-04,joy
01-02-03-02-02-02-04,joy
01-02-04-01-01-01-04,sadness
01-02-04-01-01-02-04,sadness
01-02-04-01-02-01-04,sadness
01-02-04-01-02-02-04,sadness
01-02-04-02-01-01-04,sadness
01-02-04-02-01-02-04,sadness
01-02-04-02-02-01-04,sadness
01-02-04-02-02-02-04,sadness
01-02-05-01-01-01-04,anger
01-02-05-01-01-02-04,anger
01-02-05-01-02-01-04,anger
01-02-05-01-02-02-04,anger
01-02-05-02-01-01-04,anger
01-02-05-02-01-02-04,anger
01-02-05-02-02-01-04,anger
01-02-05-02-02-02-04,anger
01-02-06-01-01-01-04,fear
01-02-06-01-01-02-04,fear
01-02-06-01-02-01-04,fear
01-02-06-01-02-02-04,fear
01-02-06-02-01-01-04,fear
01-02-06-02-01-02-04,fear
01-02-06-02-02-01-04,fear
01-02-06-02-02-02-04,fear
02-02-01-01-01-01-04,neutral
02-02-01-01-01-02-04,neutral
02-02-01-01-02-01-04,neutral
02-02-01-01-02-02-04,neutral
02-02-02-01-01-01-04,neutral
02-02-02-01-01-02-04,neutral
02-02-02-01-02-01-04,neutral
02-02-02-01-02-02-04,neutral
02-02-02-02-01-01-04,neutral
02-02-02-02-01-02-04,neutral
02-02-02-02-02-01-04,neutral
02-02-02-02-02-02-04,neutral
02-02-03-01-01-01-04,joy
02-02-03-01-01-02-04,joy
02-02-03-01-02-01-04,joy
02-02-03-01-02-02-04,joy
02-02-03-02-01-01-04,joy
02-02-03-02-01-02-04,joy
02-02-03-02-02-01-04,joy
02-02-03-02-02-02-04,joy
02-02-04-01-01-01-04,sadness
02-02-04-01-01-02-04,sadness
02-02-04-01-02-01-04,sadness
02-02-04-01-02-02-04,sadness
02-02-04-02-01-01-04,sadness
02-02-04-02-01-02-04,sadness
02-02-04-02-02-01-04,sadness
02-02-04-02-02-02-04,sadness
02-02-05-01-01-01-04,anger
02-02-05-01-01-02-04,anger
02-02-05-01-02-01-04,anger
02-02-05-01-02-02-04,anger
02-02-05-02-01-01-04,anger
02-02-05-02-01-02-04,anger
02-02-05-02-02-01-04,anger
02-02-05-02-02-02-04,anger
02-02-06-01-01-01-04,fear
02-02-06-01-01-02-04,fear
02-02-06-01-02-01-04,fear
02-02-06-01-02-02-04,fear
02-02-06-02-01-01-04,fear
02-02-06-02-01-02-04,fear
02-02-06-02-02-01-04,fear
02-02-06-02-02-02-04,fear
01-02-01-01-01-01-05,neutral
01-02-01-01-01-02-05,neutral
01-02-01-01-02-01-05,neutral
01-02-01-01-02-02-05,neutral
01-02-02-01-01-01-05,neutral
01-02-02-01-01-02-05,neutral
01-02-02-01-02-01-05,neutral
01-02-02-01-02-02-05,neutral
01-02-02-02-01-01-05,neutral
01-02-02-02-01-02-05,neutral
01-02-02-02-02-01-05,neutral
01-02-02-02-02-02-05,neutral
01-02-03-01-01-01-05,joy
01-02-03-01-01-02-05,joy
01-02-03-01-02-01-05,joy
01-02-03-01-02-02-05,joy
01-02-03-02-01-01-05,joy
01-02-03-02-01-02-05,joy
01-02-03-02-02-01-05,joy
01-02-03-02-02-02-05,joy
01-02-04-01-01-01-05,sadness
01-02-04-01-01-02-05,sadness
01-02-04-01-02-01-05,sadness
01-02-04-01-02-02-05,sadness
01-02-04-02-01-01-05,sadness
01-02-04-02-01-02-05,sadness
01-02-04-02-02-01-05,sadness
01-02-04-02-02-02-05,sadness
01-02-05-01-01-01-05,anger
01-02-05-01-01-02-05,anger
01-02-05-01-02-01-05,anger
01-02-05-01-02-02-05,anger
01-02-05-02-01-01-05,anger
01-02-05-02-01-02-05,anger
01-02-05-02-02-01-05,anger
01-02-05-02-02-02-05,anger
01-02-06-01-01-01-05,fear
01-02-06-01-01-02-05,fear
01-02-06-01-02-01-05,fear
01-02-06-01-02-02-05,fear
01-02-06-02-01-01-05,fear
01-02-06-02-01-02-05,fear
01-02-06-02-02-01-05,fear
01-02-06-02-02-02-05,fear
02-02-01-01-01-01-05,neutral
02-02-01-01-01-02-05,neutral
02-02-01-01-02-01-05,neutral
02-02-01-01-02-02-05,neutral
02-02-02-01-01-01-05,neutral
02-02-02-01-01-02-05,neutral
02-02-02-01-02-01-05,neutral
02-02-02-01-02-02-05,neutral
02-02-02-02-01-01-05,neutral
02-02-02-02-01-02-05,neutral
02-02-02-02-02-01-05,neutral
02-02-02-02-02-02-05,neutral
02-02-03-01-01-01-05,joy
02-02-03-01-01-02-05,joy
02-02-03-01-02-01-05,joy
02-02-03-01-02-02-05,joy
02-02-03-02-01-01-05,joy
02-02-03-02-01-02-05,joy
02-02-03-02-02-01-05,joy
02-02-03-02-02-02-05,joy
02-02-04-01-01-01-05,sadness
02-02-04-01-01-02-05,sadness
02-02-04-01-02-01-05,sadness
02-02-04-01-02-02-05,sadness
02-02-04-02-01-01-05,sadness
02-02-04-02-01-02-05,sadness
02-02-04-02-02-01-05,sadness
02-02-04-02-02-02-05,sadness
02-02-05-01-01-01-05,anger
02-02-05-01-01-02-05,anger
02-02-05-01-02-01-05,anger
02-02-05-01-02-02-05,anger
02-02-05-02-01-01-05,anger
02-02-05-02-01-02-05,anger
02-02-05-02-02-01-05,anger
02-02-05-02-02-02-05,anger
02-02-06-01-01-01-05,fear
02-02-06-01-01-02-05,fear
02-02-06-01-02-01-05,fear
02-02-06-01-02-02-05,fear
02-02-06-02-01-01-05,fear
02-02-06-02-01-02-05,fear
02-02-06-02-02-01-05,fear
02-02-06-02-02-02-05,fear
01-02-01-01-01-01-06,neutral
01-02-01-01-01-02-06,neutral
01-02-01-01-02-01-06,neutral
01-02-01-01-02-02-06,neutral
01-02-02-01-01-01-06,neutral
01-02-02-01-01-02-06,neutral
01-02-02-01-02-01-06,neutral
01-02-02-01-02-02-06,neutral
01-02-02-02-01-01-06,neutral
01-02-02-02-01-02-06,neutral
01-02-02-02-02-01-06,neutral
01-02-02-02-02-02-06,neutral
01-02-03-01-01-01-06,joy
01-02-03-01-01-02-06,joy
01-02-03-01-02-01-06,joy
01-02-03-01-02-02-06,joy
01-02-03-02-01-01-06,joy
01-02-03-02-01-02-06,joy
01-02-03-02-02-01-06,joy
01-02-03-02-02-02-06,joy
01-02-04-01-01-01-06,sadness
01-02-04-01-01-02-06,sadness
01-02-04-01-02-01-06,sadness
01-02-04-01-02-02-06,sadness
01-02-04-02-01-01-06,sadness
01-02-04-02-01-02-06,sadness
01-02-04-02-02-01-06,sadness
01-02-04-02-02-02-06,sadness
01-02-05-01-01-01-06,anger
01-02-05-01-01-02-06,anger
01-02-05-01-02-01-06,anger
01-02-05-01-02-02-06,anger
01-02-05-02-01-01-06,anger
01-02-05-02-01-02-06,anger
01-02-05-02-02-01-06,anger
01-02-05-02-02-02-06,anger
01-02-06-01-01-01-06,fear
01-02-06-01-01-02-06,fear
01-02-06-01-02-01-06,fear
01-02-06-01-02-02-06,fear
01-02-06-02-01-01-06,fear
01-02-06-02-01-02-06,fear
01-02-06-02-02-01-06,fear
01-02-06-02-02-02-06,fear
02-02-01-01-01-01-06,neutral
02-02-01-01-01-02-06,neutral
02-02-01-01-02-01-06,neutral
02-02-01-01-02-02-06,neutral
02-02-02-01-01-01-06,neutral
02-02-02-01-01-02-06,neutral
02-02-02-01-02-01-06,neutral
02-02-02-01-02-02-06,neutral
02-02-02-02-01-01-06,neutral
02-02-02-02-01-02-06,neutral
02-02-02-02-02-01-06,neutral
02-02-02-02-02-02-06,neutral
02-02-03-01-01-01-06,joy
02-02-03-01-01-02-06,joy
02-02-03-01-02-01-06,joy
02-02-03-01-02-02-06,joy
02-02-03-02-01-01-06,joy
02-02-03-02-01-02-06,joy
02-02-03-02-02-01-06,joy
02-02-03-02-02-02-06,joy
02-02-04-01-01-01-06,sadness
02-02-04-01-01-02-06,sadness
02-02-04-01-02-01-06,sadness
02-02-04-01-02-02-06,sadness
02-02-04-02-01-01-06,sadness
02-02-04-02-01-02-06,sadness
02-02-04-02-02-01-06,sadness
02-02-04-02-02-02-06,sadness
02-02-05-01-01-01-06,anger
02-02-05-01-01-02-06,anger
02-02-05-01-02-01-06,anger
02-02-05-01-02-02-06,anger
02-02-05-02-01-01-06,anger
02-02-05-02-01-02-06,anger
02-02-05-02-02-01-06,anger
02-02-05-02-02-02-06,anger
02-02-06-01-01-01-06,fear
02-02-06-01-01-02-06,fear
02-02-06-01-02-01-06,fear
02-02-06-01-02-02-06,fear
02-02-06-02-01-01-06,fear
02-02-06-02-01-02-06,fear
02-02-06-02-02-01-06,fear
02-02-06-02-02-02-06,fear
01-02-01-01-01-01-07,neutral
01-02-01-01-01-02-07,neutral
01-02-01-01-02-01-07,neutral
01-02-01-01-02-02-07,neutral
01-02-02-01-01-01-07,neutral
01-02-02-01-01-02-07,neutral
01-02-02-01-02-01-07,neutral
01-02-02-01-02-02-07,neutral
01-02-02-02-01-01-07,neutral
01-02-02-02-01-02-07,neutral
01-02-02-02-02-01-07,neutral
01-02-02-02-02-02-07,neutral
01-02-03-01-01-01-07,joy
01-02-03-01-01-02-07,joy
01-02-03-01-02-01-07,joy
01-02-03-01-02-02-07,joy
01-02-03-02-01-01-07,joy
01-02-03-02-01-02-07,joy
01-02-03-02-02-01-07,joy
01-02-03-02-02-02-07,joy
01-02-04-01-01-01-07,sadness
01-02-04-01-01-02-07,sadness
01-02-04-01-02-01-07,sadness
01-02-04-01-02-02-07,sadness
01-02-04-02-01-01-07,sadness
01-02-04-02-01-02-07,sadness
01-02-04-02-02-01-07,sadness
01-02-04-02-02-02-07,sadness
01-02-05-01-01-01-07,anger
01-02-05-01-01-02-07,anger
01-02-05-01-02-01-07,anger
01-02-05-01-02-02-07,anger
01-02-05-02-01-01-07,anger
01-02-05-02-01-02-07,anger
01-02-05-02-02-01-07,anger
01-02-05-02-02-02-07,anger
01-02-06-01-01-01-07,fear
01-02-06-01-01-02-07,fear
01-02-06-01-02-01-07,fear
01-02-06-01-02-02-07,fear
01-02-06-02-01-01-07,fear
01-02-06-02-01-02-07,fear
01-02-06-02-02-01-07,fear
01-02-06-02-02-02-07,fear
02-02-01-01-01-01-07,neutral
02-02-01-01-01-02-07,neutral
02-02-01-01-02-01-07,neutral
02-02-01-01-02-02-07,neutral
02-02-02-01-01-01-07,neutral
02-02-02-01-01-02-07,neutral
02-02-02-01-02-01-07,neutral
02-02-02-01-02-02-07,neutral
02-02-02-02-01-01-07,neutral
02-02-02-02-01-02-07,neutral
02-02-02-02-02-01-07,neutral
02-02-02-02-02-02-07,neutral
02-02-03-01-01-01-07,joy
02-02-03-01-01-02-07,joy
02-02-03-01-02-01-07,joy
02-02-03-01-02-02-07,joy
02-02-03-02-01-01-07,joy
02-02-03-02-01-02-07,joy
02-02-03-02-02-01-07,joy
02-02-03-02-02-02-07,joy
02-02-04-01-01-01-07,sadness
02-02-04-01-01-02-07,sadness
02-02-04-01-02-01-07,sadness
02-02-04-01-02-02-07,sadness
02-02-04-02-01-01-07,sadness
02-02-04-02-01-02-07,sadness
02-02-04-02-02-01-07,sadness
02-02-04-02-02-02-07,sadness
02-02-05-01-01-01-07,anger
02-02-05-01-01-02-07,anger
02-02-05-01-02-01-07,anger
02-02-05-01-02-02-07,anger
02-02-05-02-01-01-07,anger
02-02-05-02-01-02-07,anger
02-02-05-02-02-01-07,anger
02-02-05-02-02-02-07,anger
02-02-06-01-01-01-07,fear
02-02-06-01-01-02-07,fear
02-02-06-01-02-01-07,fear
02-02-06-01-02-02-07,fear
02-02-06-02-01-01-07,fear
02-02-06-02-01-02-07,fear
02-02-06-02-02-01-07,fear
02-02-06-02-02-02-07,fear
01-02-01-01-01-01-08,neutral
01-02-01-01-01-02-08,neutral
01-02-01-01-02-01-08,neutral
01-02-01-01-02-02-08,neutral
01-02-02-01-01-01-08,neutral
01-02-02-01-01-02-08,neutral
01-02-02-01-02-01-08,neutral
01-02-02-01-02-02-08,neutral
01-02-02-02-01-01-08,neutral
01-02-02-02-01-02-08,neutral
01-02-02-02-02-01-08,neutral
01-02-02-02-02-02-08,neutral
01-02-03-01-01-01-08,joy
01-02-03-01-01-02-08,joy
01-02-03-01-02-01-08,joy
01-02-03-01-02-02-08,joy
01-02-03-02-01-01-08,joy
01-02-03-02-01-02-08,joy
01-02-03-02-02-01-08,joy
01-02-03-02-02-02-08,joy
01-02-04-01-01-01-08,sadness
01-02-04-01-01-02-08,sadness
01-02-04-01-02-01-08,sadness
01-02-04-01-02-02-08,sadness
01-02-04-02-01-01-08,sadness
01-02-04-02-01-02-08,sadness
01-02-04-02-02-01-08,sadness
01-02-04-02-02-02-08,sadness
01-02-05-01-01-01-08,anger
01-02-05-01-01-02-08,anger
01-02-05-01-02-01-08,anger
01-02-05-01-02-02-08,anger
01-02-05-02-01-01-08,anger
01-02-05-02-01-02-08,anger
01-02-05-02-02-01-08,anger
01-02-05-02-02-02-08,anger
01-02-06-01-01-01-08,fear
01-02-06-01-01-02-08,fear
01-02-06-01-02-01-08,fear
01-02-06-01-02-02-08,fear
01-02-06-02-01-01-08,fear
01-02-06-02-01-02-08,fear
01-02-06-02-02-01-08,fear
01-02-06-02-02-02-08,fear
02-02-01-01-01-01-08,neutral
02-02-01-01-01-02-08,neutral
02-02-01-01-02-01-08,neutral
02-02-01-01-02-02-08,neutral
02-02-02-01-01-01-08,neutral
02-02-02-01-01-02-08,neutral
02-02-02-01-02-01-08,neutral
02-02-02-01-02-02-08,neutral
02-02-02-02-01-01-08,neutral
02-02-02-02-01-02-08,neutral
02-02-02-02-02-01-08,neutral
02-02-02-02-02-02-08,neutral
02-02-03-01-01-01-08,joy
02-02-03-01-01-02-08,joy
02-02-03-01-02-01-08,joy
02-02-03-01-02-02-08,joy
02-02-03-02-01-01-08,joy
02-02-03-02-01-02-08,joy
02-02-03-02-02-01-08,joy
02-02-03-02-02-02-08,joy
02-02-04-01-01-01-08,sadness
02-02-04-01-01-02-08,sadness
02-02-04-01-02-01-08,sadness
02-02-04-01-02-02-08,sadness
02-02-04-02-01-01-08,sadness
02-02-04-02-01-02-08,sadness
02-02-04-02-02-01-08,sadness
02-02-04-02-02-02-08,sadness
02-02-05-01-01-01-08,anger
02-02-05-01-01-02-08,anger
02-02-05-01-02-01-08,anger
02-02-05-01-02-02-08,anger
02-02-05-02-01-01-08,anger
02-02-05-02-01-02-08,anger
02-02-05-02-02-01-08,anger
02-02-05-02-02-02-08,anger
02-02-06-01-01-01-08,fear
02-02-06-01-01-02-08,fear
02-02-06-01-02-01-08,fear
02-02-06-01-02-02-08,fear
02-02-06-02-01-01-08,fear
02-02-06-02-01-02-08,fear
02-02-06-02-02-01-08,fear
02-02-06-02-02-02-08,fear
01-02-01-01-01-01-09,neutral
01-02-01-01-01-02-09,neutral
01-02-01-01-02-01-09,neutral
01-02-01-01-02-02-09,neutral
01-02-02-01-01-01-09,neutral
01-02-02-01-01-02-09,neutral
01-02-02-01-02-01-09,neutral
01-02-02-01-02-02-09,neutral
01-02-02-02-01-01-09,neutral
01-02-02-02-01-02-09,neutral
01-02-02-02-02-01-09,neutral
01-02-02-02-02-02-09,neutral
01-02-03-01-01-01-09,joy
01-02-03-01-01-02-09,joy
01-02-03-01-02-01-09,joy
01-02-03-01-02-02-09,joy
01-02-03-02-01-01-09,joy
01-02-03-02-01-02-09,joy
01-02-03-02-02-01-09,joy
01-02-03-02-02-02-09,joy
01-02-04-01-01-01-09,sadness
01-02-04-01-01-02-09,sadness
01-02-04-01-02-01-09,sadness
01-02-04-01-02-02-09,sadness
01-02-04-02-01-01-09,sadness
01-02-04-02-01-02-09,sadness
01-02-04-02-02-01-09,sadness
01-02-04-02-02-02-09,sadness
01-02-05-01-01-01-09,anger
01-02-05-01-01-02-09,anger
01-02-05-01-02-01-09,anger
01-02-05-01-02-02-09,anger
01-02-05-02-01-01-09,anger
01-02-05-02-01-02-09,anger
01-02-05-02-02-01-09,anger
01-02-05-02-02-02-09,anger
01-02-06-01-01-01-09,fear
01-02-06-01-01-02-09,fear
01-02-06-01-02-01-09,fear
01-02-06-01-02-02-09,fear
01-02-06-02-01-01-09,fear
01-02-06-02-01-02-09,fear
01-02-06-02-02-01-09,fear
01-02-06-02-02-02-09,fear
02-02-01-01-01-01-09,neutral
02-02-01-01-01-02-09,neutral
02-02-01-01-02-01-09,neutral
02-02-01-01-02-02-09,neutral
02-02-02-01-01-01-09,neutral
02-02-02-01-01-02-09,neutral
02-02-02-01-02-01-09,neutral
02-02-02-01-02-02-09,neutral
02-02-02-02-01-01-09,neutral
02-02-02-02-01-02-09,neutral
02-02-02-02-02-01-09,neutral
02-02-02-02-02-02-09,neutral
02-02-03-01-01-01-09,joy
02-02-03-01-01-02-09,joy
02-02-03-01-02-01-09,joy
02-02-03-01-02-02-09,joy
02-02-03-02-01-01-09,joy
02-02-03-02-01-02-09,joy
02-02-03-02-02-01-09,joy
02-02-03-02-02-02-09,joy
02-02-04-01-01-01-09,sadness
02-02-04-01-01-02-09,sadness
02-02-04-01-02-01-09,sadness
02-02-04-01-02-02-09,sadness
02-02-04-02-01-01-09,sadness
02-02-04-02-01-02-09,sadness
02-02-04-02-02-01-09,sadness
02-02-04-02-02-02-09,sadness
02-02-05-01-01-01-09,anger
02-02-05-01-01-02-09,anger
02-02-05-01-02-01-09,anger
02-02-05-01-02-02-09,anger
02-02-05-02-01-01-09,anger
02-02-05-02-01-02-09,anger
02-02-05-02-02-01-09,anger
02-02-05-02-02-02-09,anger
02-02-06-01-01-01-09,fear
02-02-06-01-01-02-09,fear
02-02-06-01-02-01-09,fear
02-02-06-01-02-02-09,fear
02-02-06-02-01-01-09,fear
02-02-06-02-01-02-09,fear
02-02-06-02-02-01-09,fear
02-02-06-02-02-02-09,fear
01-02-01-01-01-01-10,neutral
01-02-01-01-01-02-10,neutral
01-02-01-01-02-01-10,neutral
01-02-01-01-02-02-10,neutral
01-02-02-01-01-01-10,neutral
01-02-02-01-01-02-10,neutral
01-02-02-01-02-01-10,neutral
01-02-02-01-02-02-10,neutral
01-02-02-02-01-01-10,neutral
